path;data;extension;date;length;length_after_html_drop;@userName;hashtag;URLs;emoticon;emoji;length_after_cleaning_text;language;interjection;target
tests2/youtube-uci-ml/_ham_/z12vxdc50rqhilm4304cc3rrlyejfbgb0cs.ytbid;likeeeeeeeee;ytbid;Sat May 16 02:24:57 CEST 2015;12;12; ; ; ; ; ;12;af; ;ham
tests2/youtube-uci-ml/_ham_/z13xgr1w3oeycnszq04cihybwtimi3vqc40.ytbid;  god  2 billion views!;ytbid;Fri Nov 07 13:48:32 CET 2014;25;25; ; ; ; ; ;25;en;over -- oh my god -- oh my -- oh -- ;ham
tests2/youtube-uci-ml/_ham_/z12gsna4hquwjhkfd22udv3gtmjtjr5ta.ytbid;wow...5 years;ytbid;Thu May 21 23:54:24 CEST 2015;14;14; ; ; ; ; ;14;en; ;ham
tests2/youtube-uci-ml/_ham_/z13cdr2rzsjxxtmjj04cinebunydzthitmk0k.ytbid;you best singer;ytbid;Thu May 21 19:12:34 CEST 2015;15;15; ; ; ; ; ;15;da; ;ham
tests2/youtube-uci-ml/_ham_/z120djlhizeksdulo23mj5z52vjmxlhrk04.ytbid;charlie  lost?;ytbid;Sun May 24 08:04:29 CEST 2015;18;18; ; ; ; ; ;18;en; ;ham
tests2/youtube-uci-ml/_ham_/z13kvvkixzvadn5ii04chnnbsvn3w1pq5dk.ytbid;psy=korean;ytbid;Tue Jan 21 08:22:06 CET 2014;10;10; ; ; ; ; ;10;eu; ;ham
tests2/youtube-uci-ml/_ham_/z13yu32w3mrltv3qk04cjztj2wmos54qfss0k.ytbid; hate   laura bennett  ;ytbid;Sun May 17 16:38:50 CEST 2015;37;37; ; ; ; ; ;37;en;when -- ;ham
tests2/youtube-uci-ml/_ham_/z12hc5yiuwr2sxml3230sxo4tofwftg1b.ytbid;not bad;ytbid;Tue May 19 23:30:57 CEST 2015;7;7; ; ; ; ; ;7;br; ;ham
tests2/youtube-uci-ml/_ham_/z12ithhjbzzhwdmy504cfd4ypkiiizlbg3k.ytbid;still listening,still same pleasure;ytbid;Wed May 27 19:33:10 CEST 2015;35;35; ; ; ; ; ;35;et; ;ham
tests2/youtube-uci-ml/_ham_/z13gdxtwjrjoczd5h04cejcqqpedxxoyn34.ytbid;love  video ;ytbid;Fri May 22 15:44:13 CEST 2015;15;15; ; ; ; ; ;15;en; ;ham
tests2/youtube-uci-ml/_ham_/z133gjpr2ybqthyjt04cjjhrtwucsxw4tpk0k.ytbid;     voyage    comment...   family  loved . ;ytbid;Sat Nov 08 03:11:40 CET 2014;85;85; ; ; ; ;😢;83;en;now -- ;ham
tests2/youtube-uci-ml/_ham_/z124inzqgoyeh33uw23iibficv2kuf2nx.ytbid;"people    "" song    , '  point  listening  "" suck.  shut  fuck   enjoy  music. ,  mom       listen   right?....";ytbid;Fri Nov 07 23:26:04 CET 2014;183;183; ; ; ; ; ;183;en;your mom -- this -- so -- say -- now -- fuck -- ;ham
tests2/youtube-uci-ml/_ham_/z12cvzca1qi3frejt04chrbhzsekxxopids.ytbid; song   awesome!!! made  stand     viewers  imagine    setting   video. awesome job katy perry!!!!;ytbid;Fri Nov 07 01:17:29 CET 2014;156;156; ; ; ; ; ;156;en;this -- so -- out -- ;ham
tests2/youtube-uci-ml/_ham_/z12ivloo2snustjpe04cdbf5bknuudrxpdw.ytbid;love  song  !    faves! xxx;ytbid;Wed May 20 01:57:29 CEST 2015;44;44; ; ; ; ; ;44;en;this -- so -- ;ham
tests2/youtube-uci-ml/_ham_/z133sxsrnzbuwbe2o22iizkhvyicd5z0t.ytbid;never gets old best song ever  ;ytbid;Sat May 23 13:12:59 CEST 2015;32;32; ; ; ; ;❤;31;da; ;ham
tests2/youtube-uci-ml/_ham_/z12aczabeuzvhb0bg04cg35o2li0whbglss0k.ytbid;dang dat little kid gat moves;ytbid;Wed May 20 03:07:56 CEST 2015;29;29; ; ; ; ; ;29;da; ;ham
tests2/youtube-uci-ml/_ham_/z12pd3wq0p3wzzt5p04cd33pwnrreduadn40k.ytbid; love your songs;ytbid;Mon May 25 04:02:02 CEST 2015;17;17; ; ; ; ; ;17;de; ;ham
tests2/youtube-uci-ml/_ham_/z12pwrxj0kfrwnxye04cjxtqntycd1yia44.ytbid;good party;ytbid;Fri May 15 20:46:53 CEST 2015;10;10; ; ; ; ; ;10;en;good -- ;ham
tests2/youtube-uci-ml/_ham_/z132g5pqsr3wi3x5s04cerbyxuipctqg0hk.ytbid;   understand  song,     passion  women feel  instant message losing  mind     understand  ideas  loving     lies.....;ytbid;Thu May 21 20:57:17 CEST 2015;163;163; ; ; ; ; ;163;en;way -- this -- not -- like -- ;ham
tests2/youtube-uci-ml/_ham_/z12lfltwkq2cv1gft22aslh5hwyjgtzto.ytbid;   music hero;ytbid;Mon May 25 23:01:29 CEST 2015;26;26; ; ; ; ;😍😎;22;en; ;ham
tests2/youtube-uci-ml/_ham_/z13bdbmoqo3yurmfa22lznkpvqqkfl5fh.ytbid; ;ytbid;Wed May 20 17:17:41 CEST 2015;2;2; ; ; ;:) ; ;0;und; ;ham
tests2/youtube-uci-ml/_ham_/z13autsqgzblcx3w104chr4r2kexd10rxc0.ytbid;   check  views, goodbye.;ytbid;Sun Jan 19 04:27:18 CET 2014;38;38; ; ; ; ; ;38;en;here -- goodbye -- ;ham
tests2/youtube-uci-ml/_ham_/z13vg3dgkqjycpttg23bvl2pwzzzwnteo.ytbid;lmfao best songs ever!;ytbid;Tue May 26 18:56:36 CEST 2015;22;22; ; ; ; ; ;22;no; ;ham
tests2/youtube-uci-ml/_ham_/z12yc35j4vmxyfghs04ch3jhcyukjpqzvbw.ytbid;best song ever (y);ytbid;Sun May 24 15:32:55 CEST 2015;18;18; ; ; ; ; ;18;no; ;ham
tests2/youtube-uci-ml/_ham_/z13qgpqwlqbgj5jqy04cgnjqruv0gpdaino0k.ytbid;i am 2,126,492,636 viewer ;ytbid;Fri Nov 07 14:25:48 CET 2014;28;28; ; ; ;:D ; ;26;af; ;ham
tests2/youtube-uci-ml/_ham_/z12xurdj0qznephwg04cftq5rszgxdnq0xw0k.ytbid;rihanna  eminem   unstoppable.;ytbid;Thu May 28 22:50:26 CEST 2015;44;44; ; ; ; ; ;44;en; ;ham
tests2/youtube-uci-ml/_ham_/z12xgnu4zmroi1vuu221wtihjlbjw3owv04.ytbid;     comments  mine?;ytbid;Sat Nov 08 00:36:36 CET 2014;39;39; ; ; ;:/ ; ;37;en;why -- see -- don't -- ;ham
tests2/youtube-uci-ml/_ham_/z13vf1mwauyjgj23q22vtppxjlnihr2ro04.ytbid;love  song;ytbid;Mon May 25 23:43:48 CEST 2015;14;14; ; ; ; ; ;14;en;this -- ;ham
tests2/youtube-uci-ml/_ham_/z13szfnqoxaouldyf04cgrp5tmichhawj2g.ytbid; 6th grade teacher looked   katy perry     it...;ytbid;Mon Nov 10 18:18:08 CET 2014;74;74; ; ; ; ; ;74;en;like -- exactly -- come -- ;ham
tests2/youtube-uci-ml/_ham_/z12nd53pxmacxb5wz04cfjsbvsjyjbqihvw0k.ytbid;everyday ' shufflin;ytbid;Tue May 19 04:49:29 CEST 2015;21;21; ; ; ; ; ;21;en; ;ham
tests2/youtube-uci-ml/_ham_/z13iuzxwamqhzppyp04cdz1amyzpfdnpdns0k.ytbid;   fuck   korean song  big   usa.     support koreans?   time  checked  wanted  bomb . ;ytbid;Sun Jan 19 16:15:54 CET 2014;126;126; ; ; ; ; ;126;en;why -- what the fuck -- what the -- what -- time -- so -- fuck -- ;ham
tests2/youtube-uci-ml/_ham_/z13seb1gkmvqd1qne22ef3uihziwzlpqc04.ytbid;hot,hot;ytbid;Wed May 27 21:37:14 CEST 2015;7;7; ; ; ; ; ;7;br; ;ham
tests2/youtube-uci-ml/_ham_/z12xu1bi1umyxxs2023ejhfpuumozd45n04.ytbid;hello. i̇ am from azerbaijan;ytbid;Sat May 23 09:55:42 CEST 2015;28;28; ; ; ; ; ;28;hu; ;ham
tests2/youtube-uci-ml/_ham_/z125fx5glr2mwfycg22otzyjbvuod5yjx04.ytbid; miss  song. ;ytbid;Wed May 20 02:50:18 CEST 2015;20;20; ; ; ; ;😢;18;en;this -- ;ham
tests2/youtube-uci-ml/_ham_/z13vuf3jnrncwzree22ac3sils25edx4h04.ytbid; world cup offical song;ytbid;Wed May 20 17:53:38 CEST 2015;27;27; ; ; ; ; ;27;en; ;ham
tests2/youtube-uci-ml/_ham_/z133xtoivnattvbm123idnoxlxryufnlg.ytbid;damn,   ;ytbid;Thu May 21 04:30:25 CEST 2015;25;25; ; ; ; ; ;25;en;this -- damn -- ;ham
tests2/youtube-uci-ml/_ham_/z13it35hwti1uf0ea22ju5dxoyqiubdso.ytbid;   cool       song   ;ytbid;Sun May 24 15:21:54 CEST 2015;37;37; ; ; ; ; ;37;en; ;ham
tests2/youtube-uci-ml/_ham_/z12lupcjftucw3v0x23ljvuzwpexizp0c.ytbid;good music;ytbid;Mon May 25 01:33:52 CEST 2015;10;10; ; ; ; ; ;10;en;good -- ;ham
tests2/youtube-uci-ml/_ham_/z12xxjkwevvjzvvms22xz3sjqovty3qip04.ytbid; coming  check  people   viewing  video.  apparently,   .;ytbid;Sun Nov 02 22:48:21 CET 2014;91;91; ; ; ; ; ;91;en;this -- ;ham
tests2/youtube-uci-ml/_ham_/z13qyltzfvzwir5dh22xv51aczbscpqxm04.ytbid;very good song;ytbid;Wed Jul 23 14:19:09 CEST 2014;16;16; ; ; ;:) ; ;14;af; ;ham
tests2/youtube-uci-ml/_ham_/z13lgjxz2teyzdxmu23ze3ng1qmjgbsme.ytbid;laughing  loud  love  song;ytbid;Fri May 22 01:47:50 CEST 2015;20;20; ; ; ; ; ;20;en;this -- out -- ;ham
tests2/youtube-uci-ml/_ham_/z13wvdhxeyqeidsmz22jehupivbqxjvtp.ytbid;'   . incredible voice, extremely hot, nice tits;ytbid;Mon Sep 22 06:28:44 CEST 2014;60;60; ; ; ; ; ;60;en;tits -- nice -- ;ham
tests2/youtube-uci-ml/_ham_/z12us3jzyurkxzntu22bvnpwskjdx1jkk.ytbid;fantastic!!!;ytbid;Sun Sep 28 13:38:26 CEST 2014;12;12; ; ; ; ; ;12;an; ;ham
tests2/youtube-uci-ml/_ham_/z12ps3yhzryuzlg4504cezaxkwrjx3cpkgg.ytbid;shakira you are so beautiful. you are lovely, lively.. we love you.;ytbid;Sat May 23 11:46:17 CEST 2015;67;67; ; ; ; ; ;67;ht; ;ham
tests2/youtube-uci-ml/_ham_/z124dtzgsrbsw1kxh04cgpdjqlv3ghegsms0k.ytbid;i love you shakiria!!!!!!;ytbid;Tue May 19 20:06:50 CEST 2015;25;25; ; ; ; ; ;25;ht; ;ham
tests2/youtube-uci-ml/_ham_/z13vc32olxm2znkjz04cd35gnozjebqhlig.ytbid; funny thing    song  made  2009    2 years    america.;ytbid;Sat Nov 08 00:26:35 CET 2014;89;89; ; ; ; ; ;89;en;this -- ;ham
tests2/youtube-uci-ml/_ham_/z135ihwjrofccvbzu04cehzp3prte5jyccg.ytbid;best song  world;ytbid;Tue May 26 10:54:10 CEST 2015;18;18; ; ; ; ; ;18;af; ;ham
tests2/youtube-uci-ml/_ham_/z12ycjvh3nbqulnmr23tyv45pubiexurd04.ytbid;cool;ytbid;Mon May 25 08:14:26 CEST 2015;4;4; ; ; ; ; ;4;en; ;ham
tests2/youtube-uci-ml/_ham_/z12vwdpzylnfhdhoc04cfxhbdrjqed2rjh4.ytbid;   song  629 million views     7 million people   world?;ytbid;Tue Sep 16 00:53:03 CEST 2014;92;92; ; ; ; ; ;92;en;this -- there -- how -- ;ham
tests2/youtube-uci-ml/_ham_/z12ghl3g3lfvsz5lh223u10jnyvgflune.ytbid;nice;ytbid;Tue May 26 17:02:07 CEST 2015;4;4; ; ; ; ; ;4;ro; ;ham
tests2/youtube-uci-ml/_ham_/z13zj535dsqgcfyot04cixgics3zdrspsqw0k.ytbid;ilove shakira ;ytbid;Sun May 24 15:57:53 CEST 2015;14;14; ; ; ; ; ;14;sq; ;ham
tests2/youtube-uci-ml/_ham_/z12binsaxx3yiti1322df3pgvmqgurgp104.ytbid;  shit  sooooo autotuned;ytbid;Tue May 19 23:08:37 CEST 2015;33;33; ; ; ; ; ;33;en;this -- shit -- ;ham
tests2/youtube-uci-ml/_ham_/z12dfr5irwr5chwm3232gvnq2laqcdezn04.ytbid;    blow  mind;ytbid;Fri May 22 16:04:20 CEST 2015;26;26; ; ; ; ; ;26;en; ;ham
tests2/youtube-uci-ml/_ham_/z13mxjrbuyv5slha204cjdwg0wauylyap3w.ytbid;   video   1 billion views,   amazing!;ytbid;Mon Sep 15 16:48:57 CEST 2014;64;64; ; ; ; ; ;64;en;this -- really -- ;ham
tests2/youtube-uci-ml/_ham_/z13vyd3ofqi4vjute22mhjbaqxf2dvjql04.ytbid;*katy you are a shit go die!!!!!roar is a floooooooooooooooooooop*;ytbid;Mon Nov 10 18:11:36 CET 2014;66;66; ; ; ; ; ;66;so; ;ham
tests2/youtube-uci-ml/_ham_/z12zjdapzmexcbnsu23qgphzyubsihwsu.ytbid;"  fuck   updated?comments :""5 minutes ago""son ""2 years   4 months ago""";ytbid;Sat Nov 08 02:29:17 CET 2014;92;92; ; ; ;g: ; ;90;en;why -- this -- fuck this -- fuck -- ;ham
tests2/youtube-uci-ml/_ham_/z13gxxlhyrmccf10422gdrogiwbjtfwjb04.ytbid;simply rap god;ytbid;Tue May 19 16:23:48 CEST 2015;14;14; ; ; ; ; ;14;cy; ;ham
tests2/youtube-uci-ml/_ham_/z13hxdr5uvbsintfz22uddk4imbkcp20h.ytbid;  born   wrong generation;ytbid;Mon May 25 21:36:42 CEST 2015;34;34; ; ; ; ; ;34;en; ;ham
tests2/youtube-uci-ml/_ham_/z13duz4apzezupvmy22agxwikzizhrah304.ytbid;my favorite song;ytbid;Mon May 18 14:48:51 CEST 2015;16;16; ; ; ; ; ;16;no; ;ham
tests2/youtube-uci-ml/_ham_/z12sjrqiurm3sd4rh04chz4oplrmhzmgzmg0k.ytbid;prehistoric song.. ;ytbid;Fri Nov 07 20:01:16 CET 2014;26;26; ; ; ; ; ;26;en; ;ham
tests2/youtube-uci-ml/_ham_/z135cxegbufxdviso23kgn4rqmbvwxyqp04.ytbid;  pause  1:39    millisecond      chick    laugh. takes   .;ytbid;Sat Nov 08 05:29:26 CET 2014;110;110; ; ; ; ; ;110;en;see -- ;ham
tests2/youtube-uci-ml/_ham_/z12yj3cwwqf4vlb2d23au5zhhvjpjth2o.ytbid;  beginning   scared     thing        leopard bikini!;ytbid;Thu Sep 25 03:20:26 CEST 2014;102;102; ; ; ; ; ;102;en;you know -- out -- ;ham
tests2/youtube-uci-ml/_ham_/z12zyrnp1unbczz0v23mhr3wwoa0vfcak04.ytbid;    feminist champion,      reinforce  stereotype  girls  girly  painting  nails   elephant   wouldn'   ?;ytbid;Fri Sep 19 20:25:33 CEST 2014;181;181; ; ; ; ; ;181;en;why -- ;ham
tests2/youtube-uci-ml/_ham_/z12iircxtsjpwvqbd04chjzbemjtj5kohxg0k.ytbid;   video  youtube...;ytbid;Fri Nov 07 18:05:40 CET 2014;34;34; ; ; ; ; ;34;en; ;ham
tests2/youtube-uci-ml/_ham_/z13csdjytri2zxib404cf52g5szadlnbmf0.ytbid;i like it ;ytbid;Fri May 22 19:19:26 CEST 2015;12;12; ; ; ;:) ; ;10;sq; ;ham
tests2/youtube-uci-ml/_ham_/z122s1rwjlvzv3ybs04cglcyrnfatry5ku00k.ytbid;   cool,   heard  ?;ytbid;Sat May 16 19:39:56 CEST 2015;48;48; ; ; ; ; ;48;en;why -- this -- so -- ;ham
tests2/youtube-uci-ml/_ham_/z12kcfcxyvb1cxhls220s3g4jlrtuppxg04.ytbid;  head    2 years ago.. time flies;ytbid;Sun May 17 02:14:28 CEST 2015;48;48; ; ; ; ; ;48;en;time -- this -- like -- ;ham
tests2/youtube-uci-ml/_ham_/z12yzzqoozqieho4x04ci12qbrzhyzyyvjg.ytbid;2015  instant message  listening  !;ytbid;Thu May 28 04:27:18 CEST 2015;36;36; ; ; ; ; ;36;en;this! -- ;ham
tests2/youtube-uci-ml/_ham_/z12ufrszxq3zstw0r22yfbipvqvaypold.ytbid;super!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;ytbid;Fri Nov 07 15:58:57 CET 2014;49;49; ; ; ; ; ;49;de; ;ham
tests2/youtube-uci-ml/_ham_/z12tzpcjazigvrodo22dubixisqhfxtuo.ytbid; love - talents  eminem  skylar,works  ;ytbid;Sat May 23 17:41:29 CEST 2015;64;64; ; ; ; ; ;64;en;well -- ;ham
tests2/youtube-uci-ml/_ham_/z13twftbwk3qxl3gp04cgnob4ueot3pglok0k.ytbid;loves ;ytbid;Wed May 20 01:31:13 CEST 2015;8;8; ; ; ; ; ;8;en; ;ham
tests2/youtube-uci-ml/_ham_/z121hxvwrz35e1udw22lh5objyf1wxefn.ytbid;cool cool cool cool cool cool cool;ytbid;Sun May 24 16:54:08 CEST 2015;34;34; ; ; ; ; ;34;ast; ;ham
tests2/youtube-uci-ml/_ham_/z13kvddrenfhxjeod04cg11pkk2sg1vbr0c.ytbid;    understand    600 million views laughing  loud. '  hating  ,    confusing. ;ytbid;Sat Sep 13 18:48:14 CEST 2014;111;111; ; ; ; ; ;111;en;this -- really -- out -- not -- how -- ;ham
tests2/youtube-uci-ml/_ham_/z13oexlyfxivznriw04cdxmqqpmgy3bi5z40k.ytbid; fucking song  a' oreo   white part   good 1;ytbid;Wed May 27 21:02:53 CEST 2015;65;65; ; ; ; ; ;65;en;this -- like -- good -- ;ham
tests2/youtube-uci-ml/_ham_/z12ttjopmofst1gpp04cc5ezywjrwntjrc0.ytbid;  ,      views...;ytbid;Sat Nov 08 07:19:29 CET 2014;42;42; ; ; ; ; ;42;en;here -- get it -- ;ham
tests2/youtube-uci-ml/_ham_/z12axxpa2p2cdxu1p22vwfya1kz1gps4o04.ytbid;good thing  brought  spray- tan, hairstylist, makeup artist,  cameraman.;ytbid;Tue Oct 21 14:50:47 CEST 2014;83;83; ; ; ; ; ;83;en;good -- ;ham
tests2/youtube-uci-ml/_ham_/z12oczujeqz2xn2lq234ijdzurmdynx5m04.ytbid;so freaking sad...;ytbid;Thu May 21 23:48:59 CEST 2015;18;18; ; ; ; ; ;18;tl; ;ham
tests2/youtube-uci-ml/_ham_/z13zfhkhfzrpjhgku22ewbtj4quri3izo04.ytbid;hello brazil ;ytbid;Thu May 07 23:43:51 CEST 2015;22;22; ; ; ; ;😻✌💓😻👏;13;it; ;ham
